iso3,gid,name,desert_share,dryland_share,humid_share,area_km2,pixels_classified,mean_dn_1992,mean_dn_2022,majority_arid,light_scopes,in_light_scope,dark_2022,cell
SDN,SDN.13_1,Sennar,0.3755,1.0,0.0,40334.5628,48377,0.1126,0.8105,False,,False,True,anomalously_dark
SDN,SDN.14_1,South Darfur,0.1153,0.9425,0.0,78156.2402,93076,0.0269,0.1128,False,,False,True,anomalously_dark
SDN,SDN.15_1,South Kurdufan,0.0588,1.0,0.0,79381.311,94657,0.001,0.087,False,,False,True,anomalously_dark
SDN,SDN.16_1,West Darfur,0.6254,1.0,0.0,22655.4764,27240,0.0078,0.1764,True,,False,True,desert_dark
SDN,SDN.17_1,West Kurdufan,0.5195,1.0,0.0,112999.3818,134985,0.0006,0.3202,True,,False,True,desert_dark
SDN,SDN.18_1,White Nile,0.9478,1.0,0.0,39978.5953,48051,0.1403,1.0092,True,,False,True,desert_dark
SAU,SAU.1_1,'Asir,1.0,1.0,0.0,76980.1034,95197,2.885,12.7072,True,,False,False,lit_desert
SAU,SAU.2_1,Al Bahah,1.0,1.0,0.0,10511.6611,13081,5.3129,18.1405,True,,False,False,lit_desert
SAU,SAU.3_1,Al Hudud ash Shamaliyah,1.0,1.0,0.0,103813.8497,140022,0.256,1.3643,True,dark,True,True,desert_dark
SAU,SAU.4_1,Al Jawf,1.0,1.0,0.0,82030.2052,110477,0.6051,2.2846,True,dark,True,True,desert_dark
SAU,SAU.5_1,Al Madinah,1.0,1.0,0.0,149937.4118,192999,0.739,3.5119,True,,False,True,desert_dark
SAU,SAU.6_1,Al Qassim,1.0,1.0,0.0,67581.4339,87898,2.1622,8.213,True,,False,False,lit_desert
SAU,SAU.7_1,Ar Riyad,1.0,1.0,0.0,378393.5823,480566,1.2923,4.31,True,,False,True,desert_dark
SAU,SAU.8_1,Ash-Sharqīyah,1.0,1.0,0.0,521781.9852,663884,1.1173,2.2022,True,dark,True,True,desert_dark
SAU,SAU.9_1,Ḥaʼil,1.0,1.0,0.0,120080.5525,157842,0.4536,3.8877,True,,False,True,desert_dark
SAU,SAU.10_1,Jizan,1.0,1.0,0.0,12931.5438,15821,7.1344,31.7893,True,,False,False,lit_desert
SAU,SAU.11_1,Makkah,1.0,1.0,0.0,140607.3611,176646,2.7995,7.5633,True,,False,False,lit_desert
SAU,SAU.12_1,Najran,1.0,1.0,0.0,127171.0129,156633,0.3577,1.9832,True,dark,True,True,desert_dark
SAU,SAU.13_1,Tabuk,1.0,1.0,0.0,130846.3021,172739,0.3886,1.8325,True,dark,True,True,desert_dark
YEM,YEM.1_1,`Adan,1.0,1.0,0.0,723.0879,867,11.1267,20.8111,True,,False,False,lit_desert
YEM,YEM.2_1,Abyan,1.0,1.0,0.0,16309.3188,19625,0.3476,0.6915,True,dark_wide,True,True,desert_dark
YEM,YEM.3_1,Al Bayda',0.9549,1.0,0.0,9283.9728,11200,0.1576,0.809,True,,False,True,desert_dark
YEM,YEM.4_1,Al Dali',0.8229,1.0,0.0,3997.582,4814,0.1451,0.9678,True,,False,True,desert_dark
YEM,YEM.5_1,Al Hudaydah,1.0,1.0,0.0,13308.9261,16093,1.3267,3.8979,True,,False,True,desert_dark
YEM,YEM.6_1,Al Jawf,1.0,1.0,0.0,39519.5798,48197,0.0026,0.051,True,dark;dark_wide,True,True,desert_dark
YEM,YEM.7_1,Al Mahrah,1.0,1.0,0.0,65676.2389,80150,0.0171,0.2956,True,dark;dark_wide,True,True,desert_dark
YEM,YEM.8_1,Al Mahwit,0.9618,1.0,0.0,2328.922,2823,0.2702,0.6849,True,,False,True,desert_dark
YEM,YEM.9_1,Amanat Al Asimah,1.0,1.0,0.0,391.7036,475,28.7837,32.9492,True,,False,False,lit_desert
YEM,YEM.10_1,Amran,0.9881,1.0,0.0,7904.1843,9618,0.2359,0.6625,True,,False,True,desert_dark
YEM,YEM.11_1,Dhamar,0.7825,1.0,0.0,7577.7528,9153,0.4027,0.9022,True,,False,True,desert_dark
YEM,YEM.12_1,Hadramawt,1.0,1.0,0.0,166432.4599,202982,0.0796,0.9505,True,dark_wide,True,True,desert_dark
YEM,YEM.13_1,Hajjah,1.0,1.0,0.0,8207.5321,9983,0.3274,1.7623,True,,False,True,desert_dark
YEM,YEM.14_1,Ibb,0.4393,1.0,0.0,5341.3178,6437,0.6877,1.3625,False,,False,True,anomalously_dark
YEM,YEM.15_1,Lahij,0.9933,1.0,0.0,12637.6123,15174,0.4921,1.6732,True,,False,True,desert_dark
YEM,YEM.16_1,Ma'rib,1.0,1.0,0.0,17500.0919,21225,1.4364,2.2755,True,,False,True,desert_dark
YEM,YEM.17_1,Raymah,0.9708,1.0,0.0,1898.6837,2294,0.0016,0.0465,True,dark;dark_wide,True,True,desert_dark
YEM,YEM.18_1,Sa`dah,1.0,1.0,0.0,12384.2945,15140,0.1441,1.2041,True,,False,True,desert_dark
YEM,YEM.19_1,San`a',0.9555,1.0,0.0,11926.3607,14454,0.8926,1.4022,True,,False,True,desert_dark
