iso3,gid,name,desert_share,dryland_share,humid_share,area_km2,pixels_classified,mean_dn_1992,mean_dn_2022,majority_arid,light_scopes,in_light_scope,dark_2022,cell
PRY,PRY.11_1,Cordillera,0.0,0.0,1.0,4794.1234,6183,0.7013,8.3264,False,,False,False,ordinary
PRY,PRY.12_1,Guairá,0.0,0.0,1.0,3827.6665,4962,0.4264,5.5536,False,,False,False,ordinary
PRY,PRY.13_1,Itapúa,0.0,0.0,1.0,16032.5976,20962,0.4908,4.9214,False,,False,False,ordinary
PRY,PRY.14_1,Misiones,0.0,0.0,1.0,8947.0218,11710,0.2884,2.7611,False,,False,False,ordinary
PRY,PRY.15_1,Ñeembucú,0.0,0.0,1.0,11440.559,14949,0.0677,1.4971,False,,False,True,anomalously_dark
PRY,PRY.16_1,Paraguarí,0.0,0.0,1.0,8724.1357,11330,0.2129,3.7343,False,,False,False,ordinary
PRY,PRY.17_1,Presidente Hayes,0.0,0.6678,0.3322,73165.0044,93222,0.0536,0.2426,False,,False,True,anomalously_dark
PRY,PRY.18_1,San Pedro,0.0,0.0,1.0,20888.8205,26725,0.0333,2.5243,False,,False,False,ordinary
PER,PER.1_1,Amazonas,0.0,0.0526,0.9474,39594.0289,46504,0.0166,0.2283,False,,False,True,anomalously_dark
PER,PER.2_1,Ancash,0.3392,0.5836,0.4164,35888.1776,42544,0.238,1.4555,False,,False,True,anomalously_dark
PER,PER.3_1,Apurímac,0.0,0.0384,0.9616,21097.0961,25420,0.0273,1.2217,False,,False,True,anomalously_dark
PER,PER.4_1,Arequipa,0.5533,0.9272,0.0728,63276.4283,76875,0.2363,1.36,True,,False,True,desert_dark
PER,PER.5_1,Ayacucho,0.106,0.5156,0.4844,43558.0297,52502,0.0379,0.6659,False,,False,True,anomalously_dark
PER,PER.6_1,Cajamarca,0.0461,0.4051,0.5949,32904.8016,38735,0.0796,1.42,False,,False,True,anomalously_dark
PER,PER.7_1,Callao,1.0,1.0,0.0,157.3079,188,43.4451,56.3572,True,,False,False,lit_desert
PER,PER.8_1,Cusco,0.0,0.0665,0.9335,72232.3145,86744,0.1025,0.9821,False,,False,True,anomalously_dark
PER,PER.9_1,Huancavelica,0.0457,0.4343,0.5657,22084.3568,26501,0.0551,0.9119,False,,False,True,anomalously_dark
PER,PER.10_1,Huánuco,0.0,0.0754,0.9246,37102.1183,43984,0.0755,0.4819,False,,False,True,anomalously_dark
PER,PER.11_1,Ica,0.9507,1.0,0.0,21155.7367,25514,0.7021,3.0965,True,,False,False,lit_desert
